ID_OREGANO:18333	PHARMGKB	MESH	 SNOMEDCT	 UMLS	 NDFRT	 MEDDRA	SNOMEDCT	NDFRT	 MESH	MEDDRA	UMLS	ORPHANET	ICD-11	ICD-10	OMIM	GARD
DISEASE:13089											C0268187	103909	5C61.3	E74.3	612119	10372
DISEASE:13096											C0021831	117569				
DISEASE:13100											C0002871	108997				
DISEASE:13121											C0026650	102003				
DISEASE:13141											C0431375	102009	LD20.1			5049;3276
DISEASE:13142											C1969029	102011	LD20.1		611603	
DISEASE:13145											C0393555	102012				
DISEASE:13146											C2931907	102015	8C70.41			
DISEASE:13148											C0035585	102021				
DISEASE:13149											C0026499	102020	LD43;LD44			
DISEASE:13150											C0343758	102023	1C30			
DISEASE:13158											C0400923	101938				
DISEASE:13161											C0030286	101937				
DISEASE:13172											C0015414	101950				
DISEASE:13174											C0024115	101944				
DISEASE:13175											C0020635	101957	5A61	E23.0		
DISEASE:13177											C0001403	101959				
DISEASE:13179											C0242339	101953				
DISEASE:13180											C0011849;C0011860	101952				
DISEASE:13181											C0040128	101955				
DISEASE:13182											C0001621	101954				
DISEASE:13183											C2673535	101150	8A02.11	G24.1		1902
DISEASE:13196											C1843164	101085	8C20.0	G60.0	607734	9191
DISEASE:13197											C0398689	101088	4A01.1Y	D80.5	308230	73
DISEASE:13198											C0270911	101081	LD41.G1	G60.0	118220	1245
DISEASE:13199											C0270912	101082	8C20.0	G60.0		1246
DISEASE:13202											C1844865	101077	LD90.Y	G60.0		1244
DISEASE:13203											C0795910	101078	LD90.Y	G60.0	310490	1240
DISEASE:13205											C1844873	101076	LD90.Y	G60.0		1243
DISEASE:13209											C1842983	101097	8C20.1	G60.0		12448
DISEASE:13211											C1720957	101090	4A01.1Y	D80.5	606843	10579
DISEASE:13212											C1720956	101089	4A01.05	D80.5	605258	10578
DISEASE:13213											C1720958	101092	4A01.05	D80.5	608106	10581
DISEASE:13214											C1842413	101091	4A01.1Y	D80.5		10580
DISEASE:13218											C0344993	101043		Q23.0		
DISEASE:13219											C2584774	101041	3B14.0	D68.2		2887
DISEASE:13221											C1838062;C4551957	101046	8A61.3Y	G40.0	600512	2257
DISEASE:13222											C1864738	101068	9A70.Y	H18.5	610048	
DISEASE:13224											C1847352	101070	LA05.50	Q04.3	606854	10784
DISEASE:13225											C0037221	101063	LA82	Q89.3		4883
DISEASE:13226											C0272281	101022		D69.1		
DISEASE:13229											C1835896;C5235139	101010		G11.4	610357	
DISEASE:13230											C1853247	101011	8B44.00	G11.4	610250	10817
DISEASE:13233											C1848137	101039		G40.8	300088	10806
DISEASE:13234											C1291329	101028	5C51.0	E74.8	606003	10445
DISEASE:13250											C0393559	101000	8B44.01	G11.4	275900	5372
DISEASE:13252											C2931276	100998	8B44.00	G11.4	270685	4219
DISEASE:13257											C1836899	101007	8B44.01	G11.4		
DISEASE:13258											C1836295	101008	8B44.01	G11.4	609340	
DISEASE:13261											C0796019	101003	8B44.01	G11.4	270750	336
DISEASE:13262											C1843569	101004	8B44.01	G11.4		9296
DISEASE:13263											C1855346	101001	8B44.01	G11.4	248900	
DISEASE:13266											C0030521	100090				
DISEASE:13269											C0040136	100087				
DISEASE:13272											C3714644	100100				
DISEASE:13275											C0027662	100094	2F7A.0			
DISEASE:13287											C0338462	100069	6D83	G31.0		10792
DISEASE:13290											C0751549	100073	8B91.Y	G54.0		
DISEASE:13302											C1318551	100020	2A35	D46.2		
DISEASE:13303											C1318550	100019	2A35	D46.2		
DISEASE:13306											C0242310	100024	2A84.2	C88.2		
DISEASE:13307											C0018854	100026	2A84.1	C88.2		10346
DISEASE:13308											C0021071	100025	2A84.0	C88.3		
DISEASE:13309											C0399376	100032	LA30.6	K00.5	130900	
DISEASE:13310											C0399367	100031	LA30.6	K00.5		645
DISEASE:13317											C1847896	100043	8C20.2	G60.0		12437
DISEASE:13318											C1847902	100044	8C20.2	G60.0		12438
DISEASE:13319											C1842237	100045	8C20.2	G60.0	608323	12439
DISEASE:13320											C1843075	100046	8C20.2	G60.0	607791	9207
DISEASE:13338											C1527338	100008		E85.4+;I68.0*		
DISEASE:13339											C4543803	645859	1B12.7	A18.3		
DISEASE:13340											C0041333	645874	1B12.5	A18.1		
DISEASE:13342											C0041316	645807	1B12.6	A18.2		
DISEASE:13343											C0041327	645814	1B10	A15.0;A15.1;A15.2;A15.3;A15.4;A15.5;A15.6;A15.7;A15.8;A16.0;A16.1;A16.2;A16.3;A16.4;A16.5;A16.7;A16.8		
DISEASE:13344											C1370658	100003	2F3Y	D36.1		10921
DISEASE:13347											C0041309	645849	1B12.8	A18.4		
DISEASE:13361											C0266507	645398	LA02.Y			
DISEASE:13369											C0006181	99990	1C30.1	A75.1		
DISEASE:13376											C0027031	99983	1G01.3	B87.0		
DISEASE:13379											C0475715	99981	7A40.2	P28.4		
DISEASE:13383											C4751188	645322				
DISEASE:13384											C0279626	99977	2B70.1	C15.4;C15.3;C15.1;C15.0		
DISEASE:13386											C0279628;C0004763	99976	2B70.0	C15.2;C15.5	614266	
DISEASE:13395											C1370889	99971		C49.9		
DISEASE:13397											C0205825	99969		C49.9		
DISEASE:13399											C0205824	99970		C49.9		
DISEASE:13401											C0347446	645276				
DISEASE:13406											C0080174	645202	LB73.0	Q76.0		
DISEASE:13418											C1836485;C4721887	99947	8C20.1	G60.0	609260	
DISEASE:13424											C1836336	99954	8C20.0	G60.0	609311	12442
DISEASE:13425											C1854449	99953	8C20.0	G60.0	605285	10132
DISEASE:13427											C1847823	99940	8C20.1	G60.0	606595	9194
DISEASE:13428											C1843225	99939	8C20.1	G60.0	607684	9193
DISEASE:13430											C3888087	99942	8C20.1	G60.0		9197
DISEASE:13432											C1837805	99941	8C20.1	G60.0		9195
DISEASE:13434											C1842984	99944	8C20.1	G60.0		9199
DISEASE:13436											C1843153	99943	8C20.1	G60.0	607736	9198
DISEASE:13437											C1861678	99946	8C20.1	G60.0	118210	
DISEASE:13438											C3888087	99945	8C20.1	G60.0		12432
DISEASE:13446											C1833219	99936	8C20.1	G60.0	600882	9192
DISEASE:13447											C1853710	99937	8C20.1	G60.0	606071	1250
DISEASE:13448											C1832274	99938	8C20.1	G60.0	601472	1251
DISEASE:13452											C0008493	99925	2F76	D39.2		
DISEASE:13454											C0349557	99926	2C75.0	C58		
DISEASE:13467											C0018413	99914	2C73.Y;2F96	D39.1;D40.1		9665
DISEASE:13471											C1970173;C4747517	99901		E71.3	611126	
DISEASE:13478											C0152062	99903	1B90.0	A25.0		
DISEASE:13485											C0342442	99892		E24.0		
DISEASE:13492											C1704981;C1840394	99880	5A51.0	E21.0	145001	10829
DISEASE:13500											C1833104	99885	KB60.2Y	P70.2		10457
DISEASE:13501											C1832386	99886	KB60.20	P70.2	601410	1839
DISEASE:13504											C0334517	99865	2C80.Y	C62.9		
DISEASE:13507											C1961099	99861	2A71	C91.0		
DISEASE:13515											C2752027	99849	5C51.3	E74.0	612932	2125
DISEASE:13518											C1834567	99846	5C5Y	R82.1		
DISEASE:13520											C0398739	99843	5C54.2	D84.8	266265	4634
DISEASE:13522											C2748536	99844	4A00.0Y	D84.8	612840	
DISEASE:13525											C0039144	99856	8D66.0	Q06.4		
DISEASE:13526											C1847967	99853	8A44.3	E75.2		
DISEASE:13527											C1858991	99854	8A44.3	E75.2		
DISEASE:13531											C0019099	99827	1D49	A98.0		
DISEASE:13541											C1847827	99812	4A01.1Y	D81.1	606593	
DISEASE:13547											C1848201;C1848070;C1848200;C4551968	99796	LD20.1	Q04.3	300067	1904
DISEASE:13549											C0431391	99802	LA05.1	Q04.5		2637
DISEASE:13551											C2750325	99806		K07.8		
DISEASE:13552											C1850056	99807		G93.4	617507	
DISEASE:13557											C0399380;C1527284	99791	LA30.7	K00.5	125420	1806
DISEASE:13561											C0432098	99772	LA42.1	Q35.3		
DISEASE:13562											C0266122	99771	LA42.2	Q35.7		
DISEASE:13592											C0263314	636955	EB40.1	L10.3		
DISEASE:13593											C0152138	636950		H40.4		
DISEASE:13634											C5543440	615938		E71.3	619338	
DISEASE:13639											C5394137;C5394596	615954		Q04.8	618810	
DISEASE:13640											C5193068	615964		G93.4	618384	
DISEASE:13654											C5681825	620368		E83.4		
DISEASE:13693											C0346360	617910		C69.0		
DISEASE:13700											C5680416	619948		D84.8		
DISEASE:3453												206		K50.1;K50.0;K50.8		
DISEASE:3467												166105	5C53.2Y	G71.3		
DISEASE:3469												166108		Q87.8		10358
DISEASE:3484												166295				
DISEASE:3485												771		K51.4;K51.5;K51.8;K51.2;K51.3;K51.0;K51.1		
DISEASE:3486												166308	8A61.10	G40.0		
DISEASE:3487												166305	8A60.Y	G40.4		
DISEASE:3488												166302	8A6Y	G40.1		
DISEASE:3489												166299	8A6Y	G40.2		
DISEASE:3492												166311				
DISEASE:3493												166421	8A61.40	G40.5		
DISEASE:3494												856		F95.2		
DISEASE:3497												825		M45		
DISEASE:3498												166412		G40.5		
DISEASE:3500												166430	8A61.40	G40.5		
DISEASE:3501												166427	8A61.40	G40.5		
DISEASE:3502												166424	8A61.40	G40.5		
DISEASE:3503												166466				
DISEASE:3504												166469				
DISEASE:3505												166457				
DISEASE:3506												166463				
DISEASE:3508												166478				
DISEASE:3510												166472				
DISEASE:3511												166475				
DISEASE:3512												166490				
DISEASE:3513												166484				
DISEASE:3514												166487				
DISEASE:3516												163898				
DISEASE:3518												163895				
DISEASE:3519												163908				
DISEASE:3520												163903				
DISEASE:3522												163892				
DISEASE:3525												163931	EA90.41	L40.2		
DISEASE:3530												163918				
DISEASE:3531												163914				
DISEASE:3532												163924				
DISEASE:3534												163921		G04.8		
DISEASE:3535												163966		Q87.8		
DISEASE:3536												163971	LD90	Q87.8		
DISEASE:3537												163976	LD90	Q87.8		
DISEASE:3538												163979	LD90	Q87.8		
DISEASE:3539												163953		Q87.8		
DISEASE:3540												163956	LD90	Q87.8		
DISEASE:3541												163961		Q87.8		
DISEASE:3543												164726	2A60.20	D46.7		
DISEASE:3544												163982		G31.8		
DISEASE:3546												163988				
DISEASE:3547												164001				
DISEASE:3548												165661				
DISEASE:3549												165658				
DISEASE:3550												165655				
DISEASE:3551												165652				
DISEASE:3553												164823				
DISEASE:3556												165805	8A61.4Y	G40.0		
DISEASE:3557												165711				
DISEASE:3558												802		G35		
DISEASE:3559												165707				
DISEASE:3560												165704				
DISEASE:3561												165961				
DISEASE:3563												165958		B87.8		
DISEASE:3568												166002	LD24.61	Q77.3		9791
DISEASE:3569												165988				
DISEASE:3571												165985				
DISEASE:3573												163209				
DISEASE:3575												163528				
DISEASE:3581												162521				
DISEASE:3583												162516	LA70.Y	Q30.8		
DISEASE:3585												162526	LA22.3	Q16.3		
DISEASE:3599												163596	3A50.03	D56.0		
DISEASE:3600												163585				
DISEASE:3602												163588				
DISEASE:3604												163637				
DISEASE:3606												163631	5C52.11			
DISEASE:3609												163717	8A61.4Y	G40.0		
DISEASE:3610												163708	8A61.2Y	G40.4		
DISEASE:3611												163703	8A63.Y	G40.5		11005
DISEASE:3614												163721	8A61.2Y	G40.8		
DISEASE:3615												163684		E75.2		12471
DISEASE:3617												163678				
DISEASE:3621												163693		Q93.5		
DISEASE:3630												896	EC23.2Y	E70.3		5523
DISEASE:3631												3140		F20.0;F20.1;F20.2;F20.3;F20.4;F20.5;F20.6;F20.8		
DISEASE:3635												706		Q25.0		
DISEASE:3641												862		G25.0		
DISEASE:3645												207	LD24.G1	Q75.1		6206
DISEASE:3646												160148	2E92.40	D12.6		
DISEASE:3648												169826				
DISEASE:3650												169805	3B10.0	D66		
DISEASE:3652												2443				
DISEASE:3653												555		K90.0		
DISEASE:3660												169446				
DISEASE:3661												169443	4A01.02			
DISEASE:3663												169464		D84.1		
DISEASE:3664												99	8A03.1Y			
DISEASE:3665												169618				
DISEASE:3666												169615				
DISEASE:3669												169799	3B11.0	D67		
DISEASE:3670												169796	3B11.0	D67		
DISEASE:3671												169793	3B11.0	D67		
DISEASE:3672												406		E78.0		
DISEASE:3673												171220	LB17.Y	Q43.4		
DISEASE:3676												171430	8C72.00	G71.2		12821
DISEASE:3677												171433	8C72.00	G71.2		12823
DISEASE:3678												171436	8C72.00	G71.2		12822
DISEASE:3684												106		F84.0		
DISEASE:3687												1349		E88.8		
DISEASE:3689												171629	8B44.01	G11.4		
DISEASE:3690												357		E80.4		
DISEASE:3693												171201				
DISEASE:3695												171215				
DISEASE:3697												171208				
DISEASE:3699												169079		D81.1		
DISEASE:3700												1716		Q92.3		
DISEASE:3703												168984	LD2C	Q87.3		
DISEASE:3705												168999		C43.9		
DISEASE:3709												169100	4A01.21	D89.8		
DISEASE:3711												169090		D81.8		
DISEASE:3713												169095		D82.8		4358
DISEASE:3714												169082	4A01.1Y	D81.2		
DISEASE:3716												168829		C48.2		
DISEASE:3721												168807				
DISEASE:3722												168803				
DISEASE:3727												1642		Q93.5		
DISEASE:3730												1636		Q93.5		
DISEASE:3731												168953	2A52	D47.1		
DISEASE:3734												168947	2A50	D47.1		
DISEASE:3736												168943				
DISEASE:3738												2773		Q87.8		587
DISEASE:3741												169361				
DISEASE:3746												169150	4A00.11	D84.1		
DISEASE:3747												169160	4A01.10	D81.2		
DISEASE:3752												169147	4A00.10	D84.1		12958;1452
DISEASE:3753												169142	4A00.0Y	D71		10778
DISEASE:3756												169346	4A01.31			
DISEASE:3757												169355	4A01.21			
DISEASE:3762												484		Q98.0		
DISEASE:3766												1006		D80.8		
DISEASE:3775												924		L83		
DISEASE:3779												168615		R77.2		
DISEASE:3782												168621	LD24.6Y	Q78.8		
DISEASE:3784												168629		D69.4		
DISEASE:3789												200	LA05.3	Q04.0		
DISEASE:3795												1406	LD25.0Y	Q87.0		1261
DISEASE:3800												1417				
DISEASE:3801												168609		H90.3		
DISEASE:3803												1155				
DISEASE:3808												1162		F84.5		
DISEASE:3809												168558		Q56.1		
DISEASE:3811												1232		K22.7		
DISEASE:3814												168569	LD27.Y	D76.3		10239
DISEASE:3818												168448		G11.4		4891
DISEASE:3829												1819				
DISEASE:3835												167759				
DISEASE:3836												833	5C50.B	E72.1		
DISEASE:3837												167714				12760
DISEASE:3844												166775				
DISEASE:3847												1564		Q28.8		
DISEASE:3849												1538	LD2F.1Y	Q03.1		998
DISEASE:3854												2135		Q82.2		3409
DISEASE:3861												2005				
DISEASE:3865												1933	5C53.20	G71.3		3681
DISEASE:3869												180312				
DISEASE:3870												2612		Q85.8		10291
DISEASE:3873												180303				
DISEASE:3875												180779				
DISEASE:3876												2870		N48.6		
DISEASE:3877												180776				
DISEASE:3880												180772				
DISEASE:3881												180766				
DISEASE:3887												2903	CB21.1	J93.1		
DISEASE:3890												180821				
DISEASE:3892												717				
DISEASE:3896												181390				
DISEASE:3897												181381				
DISEASE:3898												181384				
DISEASE:3906												180202				
DISEASE:3907												2301	LB15.2	Q43.8		
DISEASE:3908												180199				
DISEASE:3909												180208				
DISEASE:3910												180205				
DISEASE:3915												180193				
DISEASE:3918												2370	LD24.E	Q74.8		
DISEASE:3920												2343				
DISEASE:3921												180220				
DISEASE:3934												180284		D24		
DISEASE:3935												180257				12772
DISEASE:3937												2431				
DISEASE:3938												180267	2F30.5	D24		
DISEASE:3941												179494	5B81.Y	E66.8		
DISEASE:3942												179490	5B81.Y	E66.8		
DISEASE:3943												180071		Q51.4		
DISEASE:3944												180068				
DISEASE:3945												180065				
DISEASE:3947												180062				
DISEASE:3948												180106	LB44.3	Q51.1		
DISEASE:3950												180079	LB44.2	Q51.4		
DISEASE:3951												180074	LB44.2	Q51.4		
DISEASE:3953												180118		Q51.8		
DISEASE:3954												180114	LB44.3	Q51.3		
DISEASE:3955												180111	LB44.3	Q51.1		
DISEASE:3958												180126		Q51.2		
DISEASE:3959												180129		Q51.2		
DISEASE:3960												180148				
DISEASE:3962												180151				
DISEASE:3965												180142	LB44.0	Q51.0		
DISEASE:3966												180145	LB43.1	Q51.5		
DISEASE:3967												180160	LB42.1	Q52.1		
DISEASE:3971												70		G12.0;G12.1		4531
DISEASE:3972												180157	LB42.1	Q52.1		
DISEASE:3973												180173				
DISEASE:3974												180176		N62		
DISEASE:3975												155		I42.2;I42.1		
DISEASE:3976												180170				
DISEASE:3977												178551				
DISEASE:3978												178548				
DISEASE:3980												178557				
DISEASE:3981												178554				
DISEASE:3982												3135		M42.0		
DISEASE:3985												3151		G37.8		
DISEASE:3986												178566	2B01	C84.0		
DISEASE:3990												3173		G40.4		3002
DISEASE:3993												178996	4B00.01			
DISEASE:3995												179006	4A01			
DISEASE:3998												3390				4532
DISEASE:4000												291	KA62.2	P35.8		45;5459
DISEASE:4005												178469		F71;F72;F73;F70		12107
DISEASE:4009												178396	5C5A	D68.8		
DISEASE:4013												62	8C70.41	G71.0		438
DISEASE:4016												178377	LD2F.1Y	Q75.8		
DISEASE:4022												3435		L80		
DISEASE:4024												178544	2A81.A	C83.3		
DISEASE:4027												178533		C84.4		
DISEASE:4029												178528		C84.5		
DISEASE:4030												178522		C84.8		
DISEASE:4034												178506	LD20.4	G93.8		
DISEASE:4038												178487	1A11.1	A05.1		
DISEASE:4039												177926		D66		
DISEASE:4041												177929		D67		
DISEASE:4042												178025				
DISEASE:4045												177901		Q87.1		
DISEASE:4046												177904		Q87.1		
DISEASE:4047												177907		Q87.1		
DISEASE:4048												177910		Q87.1		
DISEASE:4050												177101				
DISEASE:4051												177107				
DISEASE:4054												174590				
DISEASE:4056												178315	2B55.Y	C49.9		
DISEASE:4058												362		D55.0		
DISEASE:4060												178330				
DISEASE:4068												178040	5A92			
DISEASE:4070												178045	5A00.03			
DISEASE:4071												172985				
DISEASE:4073												2054				
DISEASE:4074												172979				
DISEASE:4076												172982				
DISEASE:4080												713	5C51.3	E74.0		7389
DISEASE:4081												171915				
DISEASE:4083												171895				
DISEASE:4084												171898				
DISEASE:4085												172973				
DISEASE:4087												172976				
DISEASE:4098												3185		E28.2		
DISEASE:4103												171703		Q04.3		
DISEASE:4104												171706		E03.1		
DISEASE:4105												171709		N46		12502
DISEASE:4109												3467	5C55.00	E79.8		
DISEASE:4111												171676		P91.2		
DISEASE:4113												171680		Q04.3		
DISEASE:4115												171684	AB34.0	H81.8		
DISEASE:4119												171860				
DISEASE:4127												171889	8C72.0Y	G71.2		
DISEASE:4128												171886	8C72.0Y	G71.2		11906
DISEASE:4129												171836		K00.5		
DISEASE:4130												171829		Q93.5		
DISEASE:4137												1428				
DISEASE:4138												200037	8A02.2			
DISEASE:4140												730	GB81	Q61.2		
DISEASE:4142												486	4B00.00	D70		9558
DISEASE:4144												1480		Q21.0		
DISEASE:4151												293		P35.2		
DISEASE:4154												199348		E51.2		
DISEASE:4156												199326	5C64.41	E83.4		
DISEASE:4158												199332	LD2F.1Y	Q87.8		
DISEASE:4159												199329		G71.2		
DISEASE:4160												1549		A07.2		
DISEASE:4163												199639				
DISEASE:4167												199630		Q04.3		
DISEASE:4169												1249				
DISEASE:4170												1983		G93.3		
DISEASE:4173												199285	5C63.Y	E50.8		
DISEASE:4181												199315		Q66.8		
DISEASE:4182												2040		Q32.4		1475
DISEASE:4184												199310	LD56	Q99.0		
DISEASE:4190												199296	5A74.Y	E23.6		5727
DISEASE:4191												199299	5A61.0	E23.6		
DISEASE:4193												189427		E24.8		10824
DISEASE:4195												189424				
DISEASE:4203												2416				
DISEASE:4207												189466	5A50.0Y	E20.8		
DISEASE:4208												17	5C53.20	E71.1		
DISEASE:4209												189439				
DISEASE:4215												120		D51.0		
DISEASE:4219												1943		G40.4		2995
DISEASE:4229												1136				
DISEASE:4232												183763				
DISEASE:4233												855		E06.3		
DISEASE:4234												183770				
DISEASE:4235												850	3B64.01	D72.0		
DISEASE:4237												183757				
DISEASE:4244												183672				
DISEASE:4245												183666	4A01.1Y	D80.5		
DISEASE:4247												183663	4A01.1Y	D80.5		
DISEASE:4251												183681	4A00.0			
DISEASE:4254												183731				
DISEASE:4255												183716				
DISEASE:4258												183710	4A00.2			
DISEASE:4261												2810		G51.0		
DISEASE:4262												183734				
DISEASE:4263												183651				
DISEASE:4265												183654				
DISEASE:4266												183637				
DISEASE:4268												183643				
DISEASE:4269												183628				
DISEASE:4270												183625				
DISEASE:4271												183634				
DISEASE:4273												183631				
DISEASE:4274												183616				
DISEASE:4276												183622				
DISEASE:4277												183619				
DISEASE:4278												183601				
DISEASE:4279												183604				
DISEASE:4280												183607				
DISEASE:4282												183589				
DISEASE:4283												183592				
DISEASE:4285												183595				
DISEASE:4286												183598				
DISEASE:4289												183576				
DISEASE:4290												2828	8A00.00	G20		
DISEASE:4291												183580				
DISEASE:4293												183583				
DISEASE:4294												183586				
DISEASE:4295												183557				
DISEASE:4297												183570				
DISEASE:4298												183573				
DISEASE:4300												183554				
DISEASE:4302												183548				
DISEASE:4304												427	5A73	E27.4		
DISEASE:4305												183545				
DISEASE:4306												183542				
DISEASE:4308												183539				
DISEASE:4309												183536				
DISEASE:4311												183533				
DISEASE:4312												183530				
DISEASE:4314												183527				
DISEASE:4315												183524				
DISEASE:4317												183521				
DISEASE:4319												183515				
DISEASE:4321												183512				
DISEASE:4322												183509				
DISEASE:4324												183503				
DISEASE:4325												183506				
DISEASE:4327												183497				
DISEASE:4328												183500				
DISEASE:4329												151				
DISEASE:4330												183490				
DISEASE:4331												183494				
DISEASE:4334												183484				
DISEASE:4335												183487				
DISEASE:4337												183478				
DISEASE:4338												183481				
DISEASE:4340												183472				
DISEASE:4342												183466				
DISEASE:4343												183469				
DISEASE:4344												183460				
DISEASE:4346												183463				
DISEASE:4347												183438				
DISEASE:4349												2268	4A01.00	D84.8		2945
DISEASE:4350												183444				
DISEASE:4351												183441				
DISEASE:4352												183450				
DISEASE:4353												183447				
DISEASE:4354												475	LD20.00	Q04.3		6802
DISEASE:4356												183454				
DISEASE:4357												182228				
DISEASE:4358												182222				
DISEASE:4360												86	BD50.4Z	I71.4		9181
DISEASE:4361												182231				
DISEASE:4363												182734				
DISEASE:4364												183426				
DISEASE:4365												183422				
DISEASE:4366												182111				
DISEASE:4368												182114				
DISEASE:4370												182117				
DISEASE:4371												182121				
DISEASE:4372												182124				
DISEASE:4375												182214				
DISEASE:4377												182083				
DISEASE:4378												182086				
DISEASE:4381												182101		J82		
DISEASE:4382												182104				
DISEASE:4383												182108				
DISEASE:4385												182064				
DISEASE:4386												182061				
DISEASE:4387												182058				12959
DISEASE:4388												182079				
DISEASE:4390												182076				
DISEASE:4393												182073				
DISEASE:4395												194				
DISEASE:4396												182040				
DISEASE:4397												182054				
DISEASE:4401												182043				
DISEASE:4403												181425				
DISEASE:4408												181437				
DISEASE:4409												181441				
DISEASE:4410												181431		E78.6		
DISEASE:4414												181402				
DISEASE:4415												907		I45.6		
DISEASE:4424												1597	LD44.H0	Q93.5		10972
DISEASE:4425												1590	LD44.D	Q93.5		
DISEASE:4426												1587	LD44.D	Q93.5		
DISEASE:4427												1625				
DISEASE:4429												1620		Q87.8		3750
DISEASE:4430												1611				
DISEASE:4431												1643		Q99.8		
DISEASE:4432												1627	LD44.50	Q93.5		
DISEASE:4436												569	8A80.10	G43.1		10095;10768;10975;2638;10974
DISEASE:4437												323				
DISEASE:4452												1581	LD44.A0	Q93.5		
DISEASE:4456												164		Q28.2		
DISEASE:4461												2615				3916
DISEASE:4462												2601				
DISEASE:4468												3176		Q05.9		4940
DISEASE:4469												1708		Q92.1		
DISEASE:4472												1692		Q92.1		
DISEASE:4473												1698		Q92.1		
DISEASE:4484												922		Q30.8		2254
DISEASE:4491												1795		Q74.8		
DISEASE:4495												946				
DISEASE:4498												956		Q87.8		511
DISEASE:4499												953				
DISEASE:4501												1702		Q92.3		
DISEASE:4506												1739				
DISEASE:4507												1742	LD41.41	Q92.2		6093
DISEASE:4508												1745	LD41.51	Q92.3		
DISEASE:4512												1877				
DISEASE:4516												1981				2269;1717
DISEASE:4518												381		E70.3		10913
DISEASE:4523												1088				
DISEASE:4525												1074		Q87.8		697
DISEASE:4530												1067		Q13.1		689
DISEASE:4533												1060				
DISEASE:4534												138221				
DISEASE:4535												1057				
DISEASE:4536												138118				
DISEASE:4538												138115				
DISEASE:4539												138112				
DISEASE:4540												1055	LA88.Y	Q24.8		2305
DISEASE:4541												138109				
DISEASE:4542												138104				
DISEASE:4544												138101				
DISEASE:4545												138095				
DISEASE:4546												138084				
DISEASE:4548												138080				
DISEASE:4549												138076				
DISEASE:4551												138072				
DISEASE:4554												1121		Q73.8		
DISEASE:4555												1120		Q87.8		3378
DISEASE:4558												1115				
DISEASE:4566												1102				
DISEASE:4570												991		Q87.8		3086
DISEASE:4571												139039				
DISEASE:4572												990		Q87.8		9126
DISEASE:4574												139042				
DISEASE:4577												139021				
DISEASE:4578												981	LA90.4Y	Q28.1		3012
DISEASE:4579												139024				
DISEASE:4580												139015				
DISEASE:4582												139018				
DISEASE:4585												139033	LD2B			
DISEASE:4586												139036				
DISEASE:4587												139027				
DISEASE:4589												139030				
DISEASE:4596												139009				
DISEASE:4597												139006				
DISEASE:4599												973	LB99.7	Q71.3		377
DISEASE:4600												964				
DISEASE:4601												959		Q87.8		
DISEASE:4604												966				
DISEASE:4610												139420				
DISEASE:4611												1034				
DISEASE:4612												139423	8A41.0	G37.3		
DISEASE:4613												139426	8A61.2Y	G40.4		
DISEASE:4614												139431	8A61.2Y	G40.3		
DISEASE:4617												139373				
DISEASE:4619												139380				
DISEASE:4623												139393				
DISEASE:4624												139396	5C57.1	E71.3		9412
DISEASE:4628												139406	5C56.0Y	E75.2		12505
DISEASE:4643												1250				
DISEASE:4650												1256				
DISEASE:4651												1235				
DISEASE:4659												1239				
DISEASE:4663												1236		Q87.8		841;3482
DISEASE:4664												137622	DA90.Y	Q87.8		
DISEASE:4667												137628		Q28.8		
DISEASE:4669												137625	5C51.3	E74.0		
DISEASE:4670												137608	LD2D.Y	Q87.3		
DISEASE:4671												137658		Q87.8		
DISEASE:4673												137653		Q87.8		
DISEASE:4674												137672	9A78.4	H18.7		11895
DISEASE:4675												1300	LD26.4Y	Q87.2		3242
DISEASE:4677												1301				1023
DISEASE:4680												137631		D82.8		
DISEASE:4687												1275	LD26.1	Q73.8		966
DISEASE:4688												137586				
DISEASE:4689												1266		Q87.8		939
DISEASE:4693												137593	1F00.10	H16.8		
DISEASE:4703												137814	5D00.0	E85.4+;L99.0*		
DISEASE:4711												1175		G11.1		
DISEASE:4713												137871				
DISEASE:4717												1139				
DISEASE:4719												1137				
DISEASE:4724												137698		B25.8		
DISEASE:4729												1153				
DISEASE:4737												1211				
DISEASE:4740												138041				
DISEASE:4741												1216	8B61.4	G12.1		
DISEASE:4742												138047				
DISEASE:4744												138055				
DISEASE:4746												138050				
DISEASE:4747												138063				
DISEASE:4748												138059				
DISEASE:4750												138069				
DISEASE:4752												138066				
DISEASE:4754												1184		Q87.8		2287
DISEASE:4761												1188	LD2H.Y	G11.1		4644
DISEASE:4762												137902				
DISEASE:4763												137905				
DISEASE:4767												137911		F84.8		10303
DISEASE:4769												137917	LA70.2	Q30.0		
DISEASE:4771												137920	LA70.2	Q30.0		
DISEASE:4772												137923				
DISEASE:4774												137926		D18.1		
DISEASE:4775												137929		G93.8		
DISEASE:4779												137935		D18.0		
DISEASE:4783												141239	LA51	Q18.8		
DISEASE:4785												141234				
DISEASE:4788												141261	LA51	Q18.8		
DISEASE:4789												141258	LA51	Q18.8		
DISEASE:4791												141253				
DISEASE:4794												141199	LA90.3Y	Q28.2		
DISEASE:4796												141194	LA90.3Y	Q28.2		
DISEASE:4797												141189				
DISEASE:4800												1427	LD24.3	Q77.7		4130
DISEASE:4802												141219	LA5Y	Q18.8		
DISEASE:4803												1436		Q87.5		3520
DISEASE:4804												141214		Q67.4		
DISEASE:4805												141209		I89.8		
DISEASE:4808												155832				
DISEASE:4810												155835				
DISEASE:4812												155878	LA4Y	Q35.9		
