ID_OREGANO:18333	PHARMGKB	MESH	 SNOMEDCT	 UMLS	 NDFRT	 MEDDRA	SNOMEDCT	NDFRT	 MESH	MEDDRA	UMLS	ORPHANET	ICD-11	ICD-10	OMIM	GARD
DISEASE:130	PA443313	D000474;C537862	360378009;360381004	C0002066	N0000000357	10001689				10001689	C0002066	56	5C50.10	E70.2	203500	5775
DISEASE:131	PA165108886	D014496	17234001	C0041915	N0000003065	10065375				10065375	C0041915	488	LB03.0	Q64.4		5425
DISEASE:132	PA165108753	D000542	195993008	C0002390	N0000000362	10001890										
DISEASE:133	PA165108128	D011695	191308006	C0034152	N0000002555	10001716										
DISEASE:134	PA165108908	D021183	91935009	C0559470	N0000011071	10034202										
DISEASE:135	PA165108139	D021182	420174000	C0949570	N0000011146											
DISEASE:136	PA443314	D000505	201157003;267810004;278040002;56317004	C0002170	N0000000358	10001760										
DISEASE:137	PA443315	D000506	68225006	C0002171	N0000000359	10001761										
DISEASE:138	PA165108479	D000507	27382006	C0002173	N0000000360	10056538										
DISEASE:139	PA446874	D019896;C531610	30188007	C0221757	N0000003965	10001806				10001806	C3501835	60	5C5A	E88.0		5784
DISEASE:140	PA165108349	D007161	123313007	C0021071	N0000001670											
DISEASE:141	PA446431	D017085	48553001;68913001	C0002312	N0000003522	10001802				10043390	C0002312	846	3A50.0	D56.0	604131	621
DISEASE:142	PA165108618	D004368	251331003	C0013240	N0000001001	10066995										
DISEASE:143	PA165108147	D018234	404056007	C0206657	N0000003708	10001882				10001882	C0206657	163699		C49.9	606243	5654
DISEASE:144	PA165109083	D004368	196467004	C0013240	N0000001001	10066995										
DISEASE:145	PA443319	D000544	26929004	C0002395	N0000000363	10001896										
DISEASE:146	PA447067	D020757	88032003	C0149793	N0000004173	10001903										
DISEASE:147	PA443320	D000550	267627009;387742006	C0002418	N0000000364	10001906										
DISEASE:148	PA165108411	D000562	186122001	C0002438	N0000000365	10001916										
DISEASE:149	PA443323	D000567	78494001	C0002452	N0000000367						C0002452	88661	LA30.6	K00.5		5791
DISEASE:150	PA443324	D000568	14302001;198414005	C0002453	N0000000368	10000326										
DISEASE:151	PA443327	D000647	48167000	C0002622	N0000000371	10001949										
DISEASE:152	PA443328	D000648	206784007;51921000	C0002624	N0000000372	10038965										
DISEASE:153	PA443329	D000652		C0002636	N0000000373	10064100										
DISEASE:154	PA165109103	D004404	387754006	C0013370	N0000001017	10062809										
DISEASE:155	PA165109032	D008101	75119003	C0023886	N0000001861	10001922										
DISEASE:156	PA166211781	D000671														
DISEASE:157	PA446547	D017772	193187004	C0206247	N0000003638											
DISEASE:158	PA443331	D000686	17602002;190931005	C0002726	N0000000375	10002021				10002022	C0002726	69	5D00	E85.0		
DISEASE:159	PA447169	D028226		C0740340	N0000010964											
DISEASE:160	PA443332	D000690	86044005	C0002736	N0000000376	10052889				10002026	C0002736	803	8B60.0	G12.2		5786
DISEASE:161	PA165108645	D005401	197225001	C0016167	N0000001257	10002153										
DISEASE:162	PA166123554						35001004									
DISEASE:163	PA443335	D000707	39579001	C0002792	N0000000379	10002198										
DISEASE:164	PA443336	D000708	89945005	C0002793	N0000000380											
DISEASE:165	PA166048833							N0000000383								
DISEASE:166	PA165108989	D050030	422348008	C1563715	N0000171668											
DISEASE:167	PA445827	D013734	12313004	C0039585	N0000002913	10056292				10056292	C0039585	754	LD2A.4	E34.5	300068	5803
DISEASE:168	PA443340	D000740	267531008;271737000	C0002871	N0000000384	10002034										
DISEASE:169	PA443341	D000741	191258001;304132006;306058006	C0002874	N0000000385	10002037										
DISEASE:170	PA447182	D029503	88854002	C1260899	N0000010983	10062988				10062989		124	3A60.1	D61.0		6274
DISEASE:171	PA443343	D000743	191231008;61261009	C0002878	N0000000387	10002045										
DISEASE:172	PA165857066				N0000000390						C0002882					
DISEASE:173	PA166048920							N0000000391								
DISEASE:174	PA446769	D018798	191133000;191137004;87522002	C0162316	N0000003859	10002062										
DISEASE:175	PA443349	D000749	234357005;53165003	C0002888	N0000000393	10002065										
DISEASE:176	PA443352	D000752	84027009	C0002892	N0000000396	10055713										
DISEASE:177	PA443353	D000753	109996008;128845005	C0002893	N0000000397	10055722				10038269	C0002893	98826	2A30	D46.7		
DISEASE:178	PA443354	D000754	128847002;398623004	C0002894	N0000000398	10037803				10038270	C0002894	86839	2A35	D46.2		
DISEASE:179	PA443355	D000755	127040003;191195005;191199004;417357006	C0002895	N0000000399	10002077				10040641	C0002895	232	3A51.1;3A51.2	D57.0;D57.1;D57.2	603903	8614
DISEASE:180	PA443356	D000756	191263002;41841004	C0002896	N0000000400	10002078				10040661	C0002896	1047				
DISEASE:181	PA443357	D000757	203926007;89369001	C0002902	N0000000401	10002317										
DISEASE:182	PA443358	D000782	80056000	C0002938	N0000000402											
DISEASE:183	PA443359	D000783	195292009;432119003;85659009	C0002940	N0000000403	10002329										
DISEASE:184	PA165108637	D017824	203468000	C0152244	N0000003641	10002362										
DISEASE:185	PA443360	D000784	26845001;9406001	C0002949	N0000000404	10061660										
DISEASE:186	PA165108826	D006322	194847002	C0018789	N0000001428	10002350										
DISEASE:187	PA165108681	D017543	195278003	C0162870	N0000003599	10002352										
DISEASE:188	PA446460	D017204	76880004	C0162635	N0000003551	10049004				10049004	C0162635;C5574895	72	LD90.0	Q93.5	105830	5810
DISEASE:189	PA443362	D000787	194828000;194830003;225566008	C0002962	N0000000406	10002372										
DISEASE:190	PA443364	D000789	25106000;64333001	C0002965	N0000000408	10002375										
DISEASE:191	PA443371	D000799	400075008;41291007	C0002994	N0000000415	10002394										
DISEASE:192	PA165108322	D018322	302857002	C0206731	N0000003783	10002429										
DISEASE:193	PA443365	D000793		C0002982	N0000000409	10066191										
DISEASE:194	PA165109174	D007119	413537009	C0020981	N0000001666	10002449										
DISEASE:195	PA443366	D000794	26810009	C0002985	N0000000410	10061639										
DISEASE:196	PA165108934	D018206	404057003	C0206632	N0000003680	10048945										
DISEASE:197	PA446590	D018207	19929002	C0206633	N0000003681	10051810										
DISEASE:198	PA166181209									10002475						
DISEASE:199	PA446224	D015783	69278003	C0003076	N0000003313	10002531										
DISEASE:200	PA165109155	D000839	16059006	C0003078	N0000000416	10002534										
DISEASE:201	PA165108769	D015858	3289004	C0003081	N0000003341	10002537										
