ID_OREGANO:11605	HPO	UMLS	MSH	SNOMEDCT_US	MEDDRA	FYLER	NCIT	COHD	EFO	ICD10	ICD9	ICD-10	EPCC	DOID	MONDO	ICD-O	MP	MPATH	PMID	ORPHA	SNOMED_CT	ICD-9
PHENOTYPE:2886	HP:0004035	C4025427																				
PHENOTYPE:2887	HP:0004036	C4025426																				
PHENOTYPE:2888	HP:0004037	C4021689																				
PHENOTYPE:2889	HP:0004039	C4025424																				
PHENOTYPE:2890	HP:0004040	C4025423																				
PHENOTYPE:2891	HP:0004041	C4025422																				
PHENOTYPE:2892	HP:0004042	C4021688																				
PHENOTYPE:2893	HP:0004043	C4025421																				
PHENOTYPE:2894	HP:0004044	C4025420																				
PHENOTYPE:2895	HP:0004045	C4025419																				
PHENOTYPE:2896	HP:0004046	C4025418																				
PHENOTYPE:2897	HP:0004047	C4021687																				
PHENOTYPE:2898	HP:0004048	C4025417																				
PHENOTYPE:2899	HP:0004049	C4025416																				
PHENOTYPE:2900	HP:0004050	C0265594		371199008																		
PHENOTYPE:2901	HP:0004051	C4020834																				
PHENOTYPE:2902	HP:0004052	C4020833;C4021686																				
PHENOTYPE:2903	HP:0004053	C4021685																				
PHENOTYPE:2904	HP:0004054	C4021684																				
PHENOTYPE:2905	HP:0004057	C1969236																				
PHENOTYPE:2906	HP:0004058	C4025415																				
PHENOTYPE:2907	HP:0004059	C4025414																				
PHENOTYPE:2908	HP:0004060	C0426874		249755001																		
PHENOTYPE:2909	HP:0004095	C4025413																				
PHENOTYPE:2910	HP:0004097	C0410740		203556007;26517000																		
PHENOTYPE:2911	HP:0004099	C0265552	C562546	48449000	"10025386 ""Macrodactyly"""																	
PHENOTYPE:2912	HP:0004100	C4021683																				
PHENOTYPE:2913	HP:0004112	C4025412																				
PHENOTYPE:2914	HP:0004122	C4025411;C4280539																				
PHENOTYPE:2915	HP:0004132	C1863349																				
PHENOTYPE:2916	HP:0004150	C4021682																				
PHENOTYPE:2917	HP:0004172	C4025410																				
PHENOTYPE:2918	HP:0004180	C4021681																				
PHENOTYPE:2919	HP:0004188	C4021680																				
PHENOTYPE:2920	HP:0004195	C4020832;C4025409																				
PHENOTYPE:2921	HP:0004197	C4021679																				
PHENOTYPE:2922	HP:0004207	C4021678																				
PHENOTYPE:2923	HP:0004209	C1850049;C4280538																				
PHENOTYPE:2924	HP:0004213	C4025408																				
PHENOTYPE:2925	HP:0004214	C4025407																				
PHENOTYPE:2926	HP:0004216	C4021677																				
PHENOTYPE:2927	HP:0004218	C4021676																				
PHENOTYPE:2928	HP:0004219	C4025406																				
PHENOTYPE:2929	HP:0004220	C1834060																				
PHENOTYPE:2930	HP:0004222	C4021675																				
PHENOTYPE:2931	HP:0004223	C4021674																				
PHENOTYPE:2932	HP:0004224	C4025405																				
PHENOTYPE:2933	HP:0004225	C4021673																				
PHENOTYPE:2934	HP:0004226	C4021672																				
PHENOTYPE:2935	HP:0004227	C1836674																				
PHENOTYPE:2936	HP:0004230	C4025404																				
PHENOTYPE:2937	HP:0004231	C1836219;C4280537																				
PHENOTYPE:2938	HP:0004232	C0265609		20136007;9181003																		
PHENOTYPE:2939	HP:0004233	C1849292;C4280536																				
PHENOTYPE:2940	HP:0004234	C4025403																				
PHENOTYPE:2941	HP:0004235	C4025402																				
PHENOTYPE:2942	HP:0004236	C4025401																				
PHENOTYPE:2943	HP:0004237	C4021671																				
PHENOTYPE:2944	HP:0004238	C4025400																				
PHENOTYPE:2945	HP:0004239	C4025399																				
PHENOTYPE:2946	HP:0004240	C4025398;C4280535																				
PHENOTYPE:2947	HP:0004241	C1844846																				
PHENOTYPE:2948	HP:0004242	C3554618																				
PHENOTYPE:2949	HP:0004243	C4025397																				
PHENOTYPE:2950	HP:0004244	C4025396																				
PHENOTYPE:2951	HP:0004245	C4025395																				
PHENOTYPE:2952	HP:0004246	C4021670																				
PHENOTYPE:2953	HP:0004247	C4025394																				
PHENOTYPE:2954	HP:0004248	C4025393																				
PHENOTYPE:2955	HP:0004249	C4025392																				
PHENOTYPE:2956	HP:0004250	C4025391																				
PHENOTYPE:2957	HP:0004251	C1867930																				
PHENOTYPE:2958	HP:0004252	C4025390																				
PHENOTYPE:2959	HP:0004253	C1847190																				
PHENOTYPE:2960	HP:0004254	C4021669																				
PHENOTYPE:2961	HP:0004255	C4025389																				
PHENOTYPE:2962	HP:0004256	C4025388																				
PHENOTYPE:2963	HP:0004257	C4021668																				
PHENOTYPE:2964	HP:0004258	C4025387																				
PHENOTYPE:2965	HP:0004259	C4025386																				
PHENOTYPE:2966	HP:0004260	C4025385																				
PHENOTYPE:2967	HP:0004261	C4021667																				
PHENOTYPE:2968	HP:0004262	C4025384																				
PHENOTYPE:2969	HP:0004263	C4025383																				
PHENOTYPE:2970	HP:0004264	C4021666																				
PHENOTYPE:2971	HP:0004267	C4025382																				
PHENOTYPE:2972	HP:0004268	C4025381																				
PHENOTYPE:2973	HP:0004269	C4025380																				
PHENOTYPE:2974	HP:0004271	C4025379																				
PHENOTYPE:2975	HP:0004272	C4025378																				
PHENOTYPE:2976	HP:0004273	C4025377																				
PHENOTYPE:2977	HP:0004274	C4025376;C4280534																				
PHENOTYPE:2978	HP:0004275	C3276746																				
PHENOTYPE:2979	HP:0004276	C4025375																				
PHENOTYPE:2980	HP:0004277	C0435632		20511007																		
PHENOTYPE:2981	HP:0004278	C4020831																				
PHENOTYPE:2982	HP:0004279	C1843108																				
PHENOTYPE:2983	HP:0004280	C4025374																				
PHENOTYPE:2984	HP:0004281	C4025373																				
PHENOTYPE:2985	HP:0004283	C1857632																				
PHENOTYPE:2986	HP:0004284	C4025372																				
PHENOTYPE:2987	HP:0004285	C4025371																				
PHENOTYPE:2988	HP:0004286	C4025370																				
PHENOTYPE:2989	HP:0004287	C4025369																				
PHENOTYPE:2990	HP:0004288	C4025368																				
PHENOTYPE:2991	HP:0004289	C4025367																				
PHENOTYPE:2992	HP:0004290	C4025366																				
PHENOTYPE:2993	HP:0004291	C4025365																				
PHENOTYPE:2994	HP:0004292	C4025364																				
PHENOTYPE:2995	HP:0004293	C4021665																				
PHENOTYPE:2996	HP:0004294	C4025363																				
PHENOTYPE:2997	HP:0004295	C4025362																				
PHENOTYPE:2998	HP:0004296	C4025361																				
PHENOTYPE:2999	HP:0004297	C0940767																				
PHENOTYPE:3000	HP:0004298	C4021664																				
PHENOTYPE:3001	HP:0004299	C1442978		128545000		4414																
PHENOTYPE:3002	HP:0004302	C4025360																				
PHENOTYPE:3003	HP:0004303	C4021663																				
PHENOTYPE:3004	HP:0004305	C0235086		102542000																		
PHENOTYPE:3005	HP:0004306	C4021662																				
PHENOTYPE:3006	HP:0004307	C4025359																				
PHENOTYPE:3007	HP:0004308	C0085612		44103008																		
PHENOTYPE:3008	HP:0004309	C0559106		195060002																		
PHENOTYPE:3009	HP:0004311	C4021661																				
PHENOTYPE:3010	HP:0004312	C4025358																				
PHENOTYPE:3011	HP:0004313	C0086438;C4048270	D000361	119250001																		
PHENOTYPE:3012	HP:0004315	C0162539	D017099	123785006;190981001																		
PHENOTYPE:3013	HP:0004319	C0020595;C0857899;C1846226	D006994	60086000																		
PHENOTYPE:3014	HP:0004320	C0042253	D014624	45135002																		
PHENOTYPE:3015	HP:0004321	C0005690	D001747	68666001																		
PHENOTYPE:3016	HP:0004322	C0349588		237836003																		
PHENOTYPE:3017	HP:0004323	C0878621;C4025357																				
PHENOTYPE:3018	HP:0004324	C0043094	D015430	161831008;262286000;8943002																		
PHENOTYPE:3019	HP:0004325	C0041667;C1262477;C1844806	D013851;D015431	161832001;248342006;262285001;89362005																		
PHENOTYPE:3020	HP:0004326	C0006625	D002100	238108007;285384003																		
PHENOTYPE:3021	HP:0004327	C4025356																				
PHENOTYPE:3022	HP:0004328	C4025355																				
PHENOTYPE:3023	HP:0004329	C4025354																				
PHENOTYPE:3024	HP:0004330	C0020496;C4072850;C4072851		17401000119104																		
PHENOTYPE:3025	HP:0004331	C0432073;C4280533		253980008																		
PHENOTYPE:3026	HP:0004332	C0427546		250284007																		
PHENOTYPE:3027	HP:0004333	C1856560																				
PHENOTYPE:3028	HP:0004334	C0151514		399979006;400190005	"10040799 ""Skin atrophy"""																	
PHENOTYPE:3029	HP:0004336	C1843168																				
PHENOTYPE:3030	HP:0004337	C1328440																				
PHENOTYPE:3031	HP:0004338	C4025352																				
PHENOTYPE:3032	HP:0004339	C4021660																				
PHENOTYPE:3033	HP:0004340	C4021659																				
PHENOTYPE:3034	HP:0004341	C4021658																				
PHENOTYPE:3035	HP:0004342	C4025351																				
PHENOTYPE:3036	HP:0004343	C4025350																				
PHENOTYPE:3037	HP:0004344	C4025349																				
PHENOTYPE:3038	HP:0004345	C4025348																				
PHENOTYPE:3039	HP:0004347	C4025347																				
PHENOTYPE:3040	HP:0004348	C4021657																				
PHENOTYPE:3041	HP:0004349	C2674432																				
PHENOTYPE:3042	HP:0004352	C4025346																				
PHENOTYPE:3043	HP:0004353	C4025345																				
PHENOTYPE:3044	HP:0004354	C4025344																				
PHENOTYPE:3045	HP:0004356	C4025342																				
PHENOTYPE:3046	HP:0004357	C4025341																				
PHENOTYPE:3047	HP:0004358	C4025340																				
PHENOTYPE:3048	HP:0004359	C4020830;C4021656																				
PHENOTYPE:3049	HP:0004360	C0001118	D000137																			
PHENOTYPE:3050	HP:0004361	C4025339																				
PHENOTYPE:3051	HP:0004362	C4025338																				
PHENOTYPE:3052	HP:0004364	C4025336																				
