ID_OREGANO:2129	REACTOME
PATHWAY:1223	R-HSA-9754189
PATHWAY:1224	R-HSA-9823730
PATHWAY:1225	R-HSA-445144
PATHWAY:1226	R-HSA-390696
PATHWAY:1227	R-HSA-5660489
PATHWAY:1228	R-HSA-428643
PATHWAY:1229	R-HSA-1660499
PATHWAY:123	R-HSA-166166
PATHWAY:1230	R-HSA-5362798
PATHWAY:1231	R-HSA-5625970
PATHWAY:1232	R-HSA-1606341
PATHWAY:1233	R-HSA-3134975
PATHWAY:1234	R-HSA-168164
PATHWAY:1235	R-HSA-5602566
PATHWAY:1236	R-HSA-5602571
PATHWAY:1237	R-HSA-3769402
PATHWAY:1238	R-HSA-4641265
PATHWAY:1239	R-HSA-5339700
PATHWAY:124	R-HSA-2562578
PATHWAY:1240	R-HSA-9673163
PATHWAY:1241	R-HSA-9678110
PATHWAY:1242	R-HSA-9679509
PATHWAY:1243	R-HSA-9683686
PATHWAY:1244	R-HSA-9683701
PATHWAY:1245	R-HSA-9683683
PATHWAY:1246	R-HSA-9692912
PATHWAY:1247	R-HSA-9683612
PATHWAY:1248	R-HSA-9682708
PATHWAY:1249	R-HSA-9692914
PATHWAY:125	R-HSA-6807878
PATHWAY:1250	R-HSA-9682706
PATHWAY:1251	R-HSA-9683439
PATHWAY:1252	R-HSA-9684325
PATHWAY:1253	R-HSA-9020933
PATHWAY:1254	R-HSA-9764302
PATHWAY:1255	R-HSA-4411364
PATHWAY:1256	R-HSA-8876493
PATHWAY:1257	R-HSA-8951430
PATHWAY:1258	R-HSA-392023
PATHWAY:1259	R-HSA-9758881
PATHWAY:126	R-HSA-6811434
PATHWAY:1260	R-HSA-448706
PATHWAY:1261	R-HSA-9635465
PATHWAY:1262	R-HSA-1236977
PATHWAY:1263	R-HSA-73614
PATHWAY:1264	R-HSA-73621
PATHWAY:1265	R-HSA-388841
PATHWAY:1266	R-HSA-1307965
PATHWAY:1267	R-HSA-5654228
PATHWAY:1268	R-HSA-5654719
PATHWAY:1269	R-HSA-428559
PATHWAY:127	R-HSA-937041
PATHWAY:1270	R-HSA-5619041
PATHWAY:1271	R-HSA-1236973
PATHWAY:1272	R-HSA-1663150
PATHWAY:1273	R-HSA-936440
PATHWAY:1274	R-HSA-2142670
PATHWAY:1275	R-HSA-9018681
PATHWAY:1276	R-HSA-211957
PATHWAY:1277	R-HSA-9027307
PATHWAY:1278	R-HSA-5579000
PATHWAY:1279	R-HSA-211999
PATHWAY:128	R-HSA-937072
PATHWAY:1280	R-HSA-6806664
PATHWAY:1281	R-HSA-162585
PATHWAY:1282	R-HSA-162594
PATHWAY:1283	R-HSA-164516
PATHWAY:1284	R-HSA-164525
PATHWAY:1285	R-HSA-174495
PATHWAY:1286	R-HSA-175474
PATHWAY:1287	R-HSA-1462054
PATHWAY:1288	R-HSA-171286
PATHWAY:1289	R-HSA-111933
PATHWAY:129	R-HSA-975163
PATHWAY:1290	R-HSA-162599
PATHWAY:1291	R-HSA-164944
PATHWAY:1292	R-HSA-9757110
PATHWAY:1293	R-HSA-211994
PATHWAY:1294	R-HSA-194002
PATHWAY:1295	R-HSA-5579017
PATHWAY:1296	R-HSA-5579009
PATHWAY:1297	R-HSA-2142753
PATHWAY:1298	R-HSA-5579028
PATHWAY:1299	R-HSA-193144
PATHWAY:13	R-HSA-111447
PATHWAY:130	R-HSA-110362
PATHWAY:1300	R-HSA-5579030
PATHWAY:1301	R-HSA-9640463
PATHWAY:1302	R-HSA-5579021
PATHWAY:1303	R-HSA-5579010
PATHWAY:1304	R-HSA-5578996
PATHWAY:1305	R-HSA-5579014
PATHWAY:1306	R-HSA-8866376
PATHWAY:1307	R-HSA-70268
PATHWAY:1308	R-HSA-5083628
PATHWAY:1309	R-HSA-418889
PATHWAY:131	R-HSA-5685939
PATHWAY:1310	R-HSA-2408522
PATHWAY:1311	R-HSA-9670613
PATHWAY:1312	R-HSA-9670615
PATHWAY:1313	R-HSA-5658623
PATHWAY:1314	R-HSA-6802953
PATHWAY:1315	R-HSA-209905
PATHWAY:1316	R-HSA-418885
PATHWAY:1317	R-HSA-418890
PATHWAY:1318	R-HSA-428542
PATHWAY:1319	R-HSA-77288
PATHWAY:132	R-HSA-5696394
PATHWAY:1320	R-HSA-419408
PATHWAY:1321	R-HSA-5662702
PATHWAY:1322	R-HSA-381183
PATHWAY:1323	R-HSA-879415
PATHWAY:1324	R-HSA-391903
PATHWAY:1325	R-HSA-9694686
PATHWAY:1326	R-HSA-3134963
PATHWAY:1327	R-HSA-3359475
PATHWAY:1328	R-HSA-3359478
PATHWAY:1329	R-HSA-71032
PATHWAY:133	R-HSA-5696395
PATHWAY:1330	R-HSA-9759218
PATHWAY:1331	R-HSA-390522
PATHWAY:1332	R-HSA-173736
PATHWAY:1333	R-HSA-140342
PATHWAY:1334	R-HSA-111457
PATHWAY:1335	R-HSA-435368
PATHWAY:1336	R-HSA-112314
PATHWAY:1337	R-HSA-1474151
PATHWAY:1338	R-HSA-500753
PATHWAY:1339	R-HSA-204626
PATHWAY:134	R-HSA-5696400
PATHWAY:1340	R-HSA-350864
PATHWAY:1341	R-HSA-204174
PATHWAY:1342	R-HSA-6783984
PATHWAY:1343	R-HSA-438066
PATHWAY:1344	R-HSA-442982
PATHWAY:1345	R-HSA-447038
PATHWAY:1346	R-HSA-451308
PATHWAY:1347	R-HSA-9617324
PATHWAY:1348	R-HSA-9620244
PATHWAY:1349	R-HSA-6798163
PATHWAY:135	R-HSA-1912408
PATHWAY:1350	R-HSA-9690406
PATHWAY:1351	R-HSA-70221
PATHWAY:1352	R-HSA-9032759
PATHWAY:1353	R-HSA-4549356
PATHWAY:1354	R-HSA-916853
PATHWAY:1355	R-HSA-5619085
PATHWAY:1356	R-HSA-390651
PATHWAY:1357	R-HSA-3560792
PATHWAY:1358	R-HSA-179812
PATHWAY:1359	R-HSA-180336
PATHWAY:136	R-HSA-210744
PATHWAY:1360	R-HSA-212718
PATHWAY:1361	R-HSA-2179392
PATHWAY:1362	R-HSA-5336415
PATHWAY:1363	R-HSA-5638303
PATHWAY:1364	R-HSA-202670
PATHWAY:1365	R-HSA-4086400
PATHWAY:1366	R-HSA-5368598
PATHWAY:1367	R-HSA-111448
PATHWAY:1368	R-HSA-113501
PATHWAY:1369	R-HSA-139915
PATHWAY:137	R-HSA-2197563
PATHWAY:1370	R-HSA-77310
PATHWAY:1371	R-HSA-77346
PATHWAY:1372	R-HSA-77348
PATHWAY:1373	R-HSA-77350
PATHWAY:1374	R-HSA-5682113
PATHWAY:1375	R-HSA-8963896
PATHWAY:1376	R-HSA-1614635
PATHWAY:1377	R-HSA-5578997
PATHWAY:1378	R-HSA-156842
PATHWAY:1379	R-HSA-5624138
PATHWAY:138	R-HSA-8941856
PATHWAY:1380	R-HSA-426486
PATHWAY:1381	R-HSA-426496
PATHWAY:1382	R-HSA-8943723
PATHWAY:1383	R-HSA-8948700
PATHWAY:1384	R-HSA-8986944
PATHWAY:1385	R-HSA-9768778
PATHWAY:1386	R-HSA-2682334
PATHWAY:1387	R-HSA-1251932
PATHWAY:1388	R-HSA-381042
PATHWAY:1389	R-HSA-72731
PATHWAY:139	R-HSA-9013508
PATHWAY:1390	R-HSA-141334
PATHWAY:1391	R-HSA-351200
PATHWAY:1392	R-HSA-6787639
PATHWAY:1393	R-HSA-72662
PATHWAY:1394	R-HSA-450520
PATHWAY:1395	R-HSA-8939245
PATHWAY:1396	R-HSA-8939247
PATHWAY:1397	R-HSA-5633231
PATHWAY:1398	R-HSA-140837
PATHWAY:1399	R-HSA-5221030
PATHWAY:14	R-HSA-1257604
PATHWAY:140	R-HSA-9013695
PATHWAY:1400	R-HSA-1660514
PATHWAY:1401	R-HSA-1660516
PATHWAY:1402	R-HSA-1660517
PATHWAY:1403	R-HSA-8931987
PATHWAY:1404	R-HSA-5624958
PATHWAY:1405	R-HSA-977443
PATHWAY:1406	R-HSA-2980766
PATHWAY:1407	R-HSA-2995383
PATHWAY:1408	R-HSA-4419969
PATHWAY:1409	R-HSA-8983711
PATHWAY:141	R-HSA-9793380
PATHWAY:1410	R-HSA-9636667
PATHWAY:1411	R-HSA-83936
PATHWAY:1412	R-HSA-6811555
PATHWAY:1413	R-HSA-8951936
PATHWAY:1414	R-HSA-9701898
PATHWAY:1415	R-HSA-1234174
PATHWAY:1416	R-HSA-452723
PATHWAY:1417	R-HSA-8849473
PATHWAY:1418	R-HSA-9664873
PATHWAY:1419	R-HSA-2892247
PATHWAY:142	R-HSA-5673001
PATHWAY:1420	R-HSA-9018682
PATHWAY:1421	R-HSA-3065679
PATHWAY:1422	R-HSA-9006335
PATHWAY:1423	R-HSA-9027276
PATHWAY:1424	R-HSA-9027277
PATHWAY:1425	R-HSA-9027283
PATHWAY:1426	R-HSA-1306955
PATHWAY:1427	R-HSA-165160
PATHWAY:1428	R-HSA-165181
PATHWAY:1429	R-HSA-381070
PATHWAY:143	R-HSA-8851805
PATHWAY:1430	R-HSA-8939256
PATHWAY:1431	R-HSA-5683678
PATHWAY:1432	R-HSA-5688399
PATHWAY:1433	R-HSA-9673768
PATHWAY:1434	R-HSA-2168880
PATHWAY:1435	R-HSA-9793528
PATHWAY:1436	R-HSA-159740
PATHWAY:1437	R-HSA-159763
PATHWAY:1438	R-HSA-159782
PATHWAY:1439	R-HSA-9657688
PATHWAY:144	R-HSA-3371453
PATHWAY:1440	R-HSA-9672391
PATHWAY:1441	R-HSA-2046105
PATHWAY:1442	R-HSA-5684045
PATHWAY:1443	R-HSA-140834
PATHWAY:1444	R-HSA-163841
PATHWAY:1445	R-HSA-9672383
PATHWAY:1446	R-HSA-9672387
PATHWAY:1447	R-HSA-9672393
PATHWAY:1448	R-HSA-9672395
PATHWAY:1449	R-HSA-9672396
PATHWAY:145	R-HSA-351906
PATHWAY:1450	R-HSA-9672397
PATHWAY:1451	R-HSA-9673202
PATHWAY:1452	R-HSA-9674519
PATHWAY:1453	R-HSA-9673218
PATHWAY:1454	R-HSA-9673221
PATHWAY:1455	R-HSA-9673240
PATHWAY:1456	R-HSA-9657689
PATHWAY:1457	R-HSA-380612
PATHWAY:1458	R-HSA-434313
PATHWAY:1459	R-HSA-8963684
PATHWAY:146	R-HSA-8935964
